Année,situation,Genre,Domaine,Taux d’insertion,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire brut annuel estimé,Part des diplômés boursiers dans la discipline,Taux de chômage national
2017,18 mois après le diplôme,femmes,"Sciences, technologies et santé",93.0,74.0,55.0,98.0,31200.0,37.0,7.8
2014,30 mois après le diplôme,hommes,"Sciences, technologies et santé",95.0,97.0,68.0,100.0,43900.0,19.0,9.3
2014,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",91.0,86.0,73.0,99.0,39000.0,28.0,9.3
2012,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",92.0,78.0,71.0,96.0,35500.0,26.0,10.1
2017,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",90.0,39.0,64.0,85.0,25000.0,37.0,7.8
2013,18 mois après le diplôme,femmes,"Sciences, technologies et santé",89.0,34.0,65.0,84.0,23700.0,34.0,9.9
2018,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",91.0,37.0,67.0,85.0,25700.0,34.0,7.8
2014,30 mois après le diplôme,hommes,"Sciences, technologies et santé",94.0,48.0,77.0,87.0,26700.0,30.0,9.3
2018,18 mois après le diplôme,femmes,"Sciences, technologies et santé",92.0,36.0,65.0,86.0,25000.0,35.0,7.8
2019,18 mois après le diplôme,hommes,"Sciences, technologies et santé",90.0,36.0,70.0,88.0,28100.0,32.0,7.2
2020,30 mois après le diplôme,femmes,"Sciences, technologies et santé",96.0,41.0,79.0,87.0,28100.0,32.0,6.9
2020,30 mois après le diplôme,hommes,"Sciences, technologies et santé",94.0,44.0,81.0,89.0,30300.0,34.0,6.9
2012,18 mois après le diplôme,femmes,"Sciences, technologies et santé",89.0,62.268107698141826,60.0,76.0,22400.0,32.80387685290764,10.1
2017,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",90.0,64.0,52.0,98.0,27300.0,39.0,7.8
2013,30 mois après le diplôme,hommes,"Sciences, technologies et santé",94.0,66.0,79.0,97.0,31200.0,26.0,9.9
2014,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,76.0,76.0,94.0,30700.0,28.0,9.3
2019,30 mois après le diplôme,hommes,"Sciences, technologies et santé",97.0,61.0,66.0,99.0,30400.0,28.0,7.2
2014,18 mois après le diplôme,femmes,"Sciences, technologies et santé",93.0,56.0,53.0,92.0,27300.0,23.0,9.3
2016,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",89.0,64.0,56.0,95.0,27300.0,34.0,8.5
2017,18 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2019,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",92.0,84.0,89.0,99.0,36700.0,30.0,7.2
2020,18 mois après le diplôme,hommes,"Sciences, technologies et santé",92.0,82.0,78.0,98.0,36300.0,23.0,6.9
2020,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",92.0,82.0,79.0,99.0,36700.0,24.0,6.9
2016,30 mois après le diplôme,hommes,"Sciences, technologies et santé",86.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,34.0,8.5
2016,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",88.0,88.0,94.0,100.0,29569.70041714069,32.0,8.5
2011,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",90.0,58.0,77.0,95.0,27200.0,29.0,9.7
2017,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2018,30 mois après le diplôme,femmes,"Sciences, technologies et santé",89.0,86.0,95.0,100.0,37000.0,26.0,7.8
2015,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",92.0,51.0,78.0,98.0,27600.0,33.0,8.6
2013,18 mois après le diplôme,femmes et hommes,Masters enseignement,97.0,84.0,87.0,92.0,26500.0,40.0,9.9
2018,18 mois après le diplôme,femmes et hommes,Masters enseignement,98.0,86.0,86.0,92.0,26700.0,19.0,7.8
2019,18 mois après le diplôme,hommes,Masters enseignement,97.0,80.0,80.0,90.0,29100.0,22.0,7.2
2019,30 mois après le diplôme,femmes et hommes,Masters enseignement,98.0,83.0,85.0,92.0,28100.0,21.0,7.2
2020,18 mois après le diplôme,hommes,Masters enseignement,96.0,79.0,76.0,91.0,31200.0,20.0,6.9
2015,30 mois après le diplôme,femmes,Masters enseignement,98.0,87.0,91.0,92.0,28100.0,18.0,8.6
2012,30 mois après le diplôme,hommes,Masters enseignement,96.0,86.0,90.0,95.0,28100.0,32.80387685290764,10.1
2017,30 mois après le diplôme,femmes,Masters enseignement,98.0,89.0,90.0,93.0,27600.0,16.0,7.8
2015,18 mois après le diplôme,hommes,Masters enseignement,98.0,88.0,90.0,93.0,28100.0,19.0,8.6
2011,30 mois après le diplôme,femmes et hommes,Masters enseignement,98.0,86.0,88.0,94.0,28100.0,29.0,9.7
2018,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2014,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.3
2014,18 mois après le diplôme,femmes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.3
2016,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2011,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,29.0,9.7
2017,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2016,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2013,30 mois après le diplôme,hommes,"Lettres, langues, arts",84.0,55.0,73.0,79.0,28200.0,40.0,9.9
2017,18 mois après le diplôme,femmes,"Lettres, langues, arts",81.0,40.0,48.0,82.0,23400.0,45.0,7.8
2013,18 mois après le diplôme,femmes,"Lettres, langues, arts",87.0,59.0,63.0,76.0,26500.0,37.0,9.9
2018,18 mois après le diplôme,femmes,"Lettres, langues, arts",84.0,47.0,57.0,81.0,26200.0,47.0,7.8
2014,30 mois après le diplôme,femmes,"Lettres, langues, arts",90.0,60.0,69.0,88.0,26500.0,37.0,9.3
2019,30 mois après le diplôme,femmes,"Lettres, langues, arts",89.0,59.0,66.0,92.0,27800.0,49.0,7.2
2018,30 mois après le diplôme,hommes,"Lettres, langues, arts",84.0,63.0,59.0,85.0,29100.0,39.0,7.8
2015,18 mois après le diplôme,hommes,"Lettres, langues, arts",81.0,51.0,70.0,78.0,29569.70041714069,42.0,8.6
2013,30 mois après le diplôme,femmes,"Lettres, langues, arts",89.0,57.0,76.0,84.0,26500.0,41.0,9.9
2017,18 mois après le diplôme,femmes,"Lettres, langues, arts",82.0,28.0,45.0,82.0,21100.0,44.0,7.8
2018,18 mois après le diplôme,femmes,"Lettres, langues, arts",85.0,23.0,51.0,77.0,23400.0,42.0,7.8
2014,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",81.0,53.0,55.0,79.0,23400.0,32.0,9.3
2020,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",85.0,48.0,76.0,91.0,27100.0,40.0,6.9
2015,30 mois après le diplôme,femmes,"Lettres, langues, arts",83.0,43.0,52.0,83.0,23900.0,39.0,8.6
2015,18 mois après le diplôme,femmes,"Lettres, langues, arts",78.0,36.0,44.0,79.0,21800.0,39.0,8.6
2018,18 mois après le diplôme,hommes,"Lettres, langues, arts",84.0,40.0,71.0,95.0,28100.0,36.0,7.8
2020,30 mois après le diplôme,hommes,"Lettres, langues, arts",90.0,61.0,87.0,98.0,31200.0,50.0,6.9
2012,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.0,49.0,78.0,93.0,28700.0,32.80387685290764,10.1
2011,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",92.0,65.0,66.0,82.0,27300.0,29.0,9.7
2017,18 mois après le diplôme,femmes,"Lettres, langues, arts",92.0,62.0,46.0,78.0,23400.0,40.0,7.8
2019,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",83.0,55.0,45.0,77.0,24900.0,43.0,7.2
2020,30 mois après le diplôme,femmes,"Lettres, langues, arts",90.0,68.0,62.0,84.0,26800.0,47.0,6.9
2020,18 mois après le diplôme,femmes,"Lettres, langues, arts",92.0,56.0,49.0,78.0,26800.0,47.0,6.9
2015,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",90.0,50.0,59.0,74.0,25700.0,39.0,8.6
2015,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,22.0,8.6
2016,30 mois après le diplôme,femmes,"Lettres, langues, arts",95.0,45.0,70.0,88.0,28500.0,36.0,8.5
2017,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",92.0,46.0,72.0,93.0,29600.0,30.0,7.8
2012,30 mois après le diplôme,hommes,"Lettres, langues, arts",87.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2013,18 mois après le diplôme,femmes,"Lettres, langues, arts",82.0,45.0,52.0,80.0,25300.0,39.0,9.9
2017,18 mois après le diplôme,femmes,"Lettres, langues, arts",92.0,50.0,53.0,88.0,27000.0,39.0,7.8
2019,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.0,42.0,58.0,84.0,25200.0,48.0,7.2
2019,30 mois après le diplôme,femmes,"Lettres, langues, arts",86.0,34.0,62.0,84.0,24800.0,43.0,7.2
2019,18 mois après le diplôme,femmes,"Lettres, langues, arts",76.0,32.0,51.0,78.0,24800.0,43.0,7.2
2017,30 mois après le diplôme,femmes,"Lettres, langues, arts",90.0,48.0,66.0,95.0,28100.0,39.0,7.8
2015,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.0,37.0,56.0,90.0,23400.0,40.0,8.6
2015,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.6
2020,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,6.9
2015,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",83.0,37.0,48.0,82.0,23400.0,41.0,8.6
2012,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",85.0,55.0,56.0,81.0,26500.0,22.0,10.1
2017,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",87.0,35.0,54.0,83.0,25100.0,46.0,7.8
2013,18 mois après le diplôme,femmes,Sciences humaines et sociales,81.0,51.0,43.0,75.0,24200.0,32.0,9.9
2013,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,80.0,51.0,45.0,78.0,24800.0,31.0,9.9
2014,30 mois après le diplôme,hommes,Sciences humaines et sociales,86.0,59.0,60.0,89.0,27900.0,30.0,9.3
2019,30 mois après le diplôme,hommes,Sciences humaines et sociales,89.0,65.0,61.0,91.0,29600.0,34.0,7.2
2017,30 mois après le diplôme,femmes,Sciences humaines et sociales,90.0,63.0,63.0,86.0,27300.0,37.0,7.8
2018,30 mois après le diplôme,femmes,Sciences humaines et sociales,83.0,44.0,53.0,88.0,26500.0,42.0,7.8
2018,18 mois après le diplôme,hommes,Sciences humaines et sociales,81.0,52.0,44.0,91.0,27300.0,35.0,7.8
2013,30 mois après le diplôme,femmes,Sciences humaines et sociales,80.0,33.0,39.0,75.0,23200.0,40.0,9.9
2018,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,80.0,39.0,50.0,83.0,25000.0,42.0,7.8
2015,18 mois après le diplôme,hommes,Sciences humaines et sociales,68.0,37.0,37.0,76.0,23400.0,36.0,8.6
2017,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,86.0,61.0,55.0,93.0,28100.0,33.0,7.8
2020,30 mois après le diplôme,hommes,Sciences humaines et sociales,89.0,69.0,62.0,98.0,32200.0,31.0,6.9
2015,30 mois après le diplôme,femmes,Sciences humaines et sociales,88.0,45.0,55.0,92.0,26300.0,32.0,8.6
2012,30 mois après le diplôme,hommes,Sciences humaines et sociales,84.0,55.0,52.0,94.0,28400.0,32.80387685290764,10.1
2017,18 mois après le diplôme,femmes,Sciences humaines et sociales,90.0,89.0,52.0,64.0,26100.0,38.0,7.8
2013,30 mois après le diplôme,femmes,Sciences humaines et sociales,89.0,83.0,60.0,64.0,25700.0,31.0,9.9
2018,18 mois après le diplôme,femmes,Sciences humaines et sociales,92.0,86.0,50.0,68.0,26500.0,43.0,7.8
2014,30 mois après le diplôme,femmes,Sciences humaines et sociales,93.0,84.0,61.0,66.0,25100.0,34.0,9.3
2019,30 mois après le diplôme,hommes,Sciences humaines et sociales,91.0,89.0,66.0,76.0,30100.0,40.0,7.2
2020,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,94.0,87.0,53.0,72.0,30900.0,42.0,6.9
2020,30 mois après le diplôme,femmes,Sciences humaines et sociales,96.0,93.0,67.0,75.0,30600.0,44.0,6.9
2020,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,95.0,92.0,67.0,76.0,30900.0,42.0,6.9
2019,18 mois après le diplôme,hommes,Sciences humaines et sociales,85.0,84.0,56.0,74.0,30100.0,40.0,7.2
2016,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,89.0,79.0,47.0,62.0,25000.0,39.0,8.5
2012,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,86.0,77.0,44.0,56.0,23900.0,35.0,10.1
2017,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,94.0,91.0,67.0,71.0,27800.0,38.0,7.8
2012,18 mois après le diplôme,femmes,Sciences humaines et sociales,85.0,62.268107698141826,44.0,56.0,24000.0,32.80387685290764,10.1
2015,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,93.0,85.0,63.0,68.0,26500.0,37.0,8.6
2015,18 mois après le diplôme,femmes,Sciences humaines et sociales,88.0,80.0,47.0,59.0,25000.0,37.0,8.6
2014,18 mois après le diplôme,hommes,Sciences humaines et sociales,86.0,60.0,57.0,89.0,28200.0,28.0,9.3
2019,18 mois après le diplôme,hommes,Sciences humaines et sociales,84.0,63.0,54.0,91.0,29600.0,33.0,7.2
2019,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,83.0,55.0,53.0,89.0,28100.0,36.0,7.2
2016,30 mois après le diplôme,hommes,Sciences humaines et sociales,88.0,69.0,62.0,91.0,31200.0,26.0,8.5
2012,30 mois après le diplôme,femmes,Sciences humaines et sociales,87.0,48.0,61.0,90.0,26400.0,32.80387685290764,10.1
2016,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,88.0,58.0,65.0,93.0,28900.0,30.0,8.5
2017,30 mois après le diplôme,hommes,Sciences humaines et sociales,91.0,63.0,64.0,90.0,30300.0,39.0,7.8
2015,18 mois après le diplôme,femmes,Sciences humaines et sociales,83.0,42.0,52.0,89.0,25000.0,31.0,8.6
2017,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,85.0,51.0,52.0,91.0,26500.0,36.0,7.8
2018,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,86.0,53.0,52.0,92.0,27000.0,35.0,7.8
2014,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,81.0,41.0,42.0,87.0,24500.0,32.0,9.3
2020,18 mois après le diplôme,femmes,Sciences humaines et sociales,88.0,46.0,47.0,90.0,29000.0,40.0,6.9
2020,30 mois après le diplôme,femmes,Sciences humaines et sociales,90.0,51.0,59.0,93.0,29000.0,40.0,6.9
2015,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,86.0,50.0,55.0,90.0,26900.0,36.0,8.6
2017,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,89.0,55.0,62.0,93.0,28100.0,36.0,7.8
2015,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,82.0,46.0,43.0,86.0,25000.0,36.0,8.6
2017,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,87.0,59.0,58.0,96.0,27300.0,33.0,7.8
2013,30 mois après le diplôme,femmes,Sciences humaines et sociales,88.0,47.0,50.0,92.0,26200.0,32.0,9.9
2013,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,75.0,46.0,40.0,89.0,25000.0,29.0,9.9
2018,18 mois après le diplôme,hommes,Sciences humaines et sociales,88.0,67.0,58.0,97.0,28800.0,29.0,7.8
2019,30 mois après le diplôme,femmes,Sciences humaines et sociales,93.0,65.0,57.0,98.0,29600.0,33.0,7.2
2019,30 mois après le diplôme,hommes,Sciences humaines et sociales,94.0,67.0,64.0,98.0,31200.0,31.0,7.2
2020,18 mois après le diplôme,femmes,Sciences humaines et sociales,90.0,63.0,50.0,96.0,30900.0,36.0,6.9
2020,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,90.0,63.0,51.0,96.0,31200.0,35.0,6.9
2016,18 mois après le diplôme,hommes,Sciences humaines et sociales,86.0,64.0,57.0,96.0,28100.0,31.0,8.5
2017,18 mois après le diplôme,hommes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2014,18 mois après le diplôme,femmes,Sciences humaines et sociales,68.0,34.0,33.0,84.0,22600.0,35.0,9.3
2020,18 mois après le diplôme,hommes,Sciences humaines et sociales,85.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,42.0,6.9
2017,18 mois après le diplôme,hommes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2018,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,83.0,61.0,75.0,78.0,31300.0,34.0,7.8
2018,30 mois après le diplôme,femmes,Sciences humaines et sociales,82.0,68.0,74.0,85.0,29569.70041714069,25.0,7.8
2014,18 mois après le diplôme,femmes,Sciences humaines et sociales,83.0,59.0,48.0,79.0,29569.70041714069,23.0,9.3
2015,30 mois après le diplôme,hommes,Sciences humaines et sociales,63.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,29.0,8.6
2020,18 mois après le diplôme,hommes,Sciences humaines et sociales,87.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,6.9
2016,18 mois après le diplôme,hommes,Sciences humaines et sociales,87.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2012,30 mois après le diplôme,femmes,Sciences humaines et sociales,86.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2012,18 mois après le diplôme,hommes,Sciences humaines et sociales,84.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2016,18 mois après le diplôme,femmes,Sciences humaines et sociales,86.0,48.0,45.0,85.0,25600.0,36.0,8.5
2016,30 mois après le diplôme,femmes,Sciences humaines et sociales,90.0,51.0,56.0,89.0,26300.0,36.0,8.5
2013,30 mois après le diplôme,femmes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.9
2017,18 mois après le diplôme,hommes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2012,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2013,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,80.0,44.0,36.0,77.0,25700.0,31.0,9.9
2018,18 mois après le diplôme,hommes,Sciences humaines et sociales,80.0,57.0,52.0,92.0,28100.0,39.0,7.8
2014,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,80.0,38.0,35.0,85.0,23800.0,33.0,9.3
2016,30 mois après le diplôme,hommes,Sciences humaines et sociales,80.0,50.0,66.0,88.0,29300.0,45.0,8.5
2013,30 mois après le diplôme,femmes,Sciences humaines et sociales,84.0,35.0,53.0,90.0,23400.0,35.0,9.9
2019,18 mois après le diplôme,femmes,Sciences humaines et sociales,81.0,35.0,46.0,84.0,25300.0,42.0,7.2
2015,30 mois après le diplôme,hommes,Sciences humaines et sociales,90.0,58.0,63.0,92.0,28100.0,34.0,8.6
2017,18 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),90.0,72.0,73.0,96.0,31600.0,29.0,7.8
2018,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),89.0,58.0,63.0,92.0,28700.0,33.0,7.8
2014,18 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),86.0,57.0,60.0,92.0,28100.0,30.0,9.3
2019,30 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),93.0,62.0,72.0,94.0,31200.0,34.0,7.2
2019,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),87.0,57.0,61.0,91.0,31200.0,34.0,7.2
2016,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),88.0,55.0,59.0,91.0,27500.0,31.0,8.5
2020,18 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),90.0,62.0,66.0,94.0,33900.0,31.0,6.9
2015,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),92.0,71.0,80.0,97.0,32800.0,28.0,8.6
2018,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),90.0,74.0,81.0,96.0,34400.0,29.0,7.8
2011,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),90.0,64.0,74.0,93.0,29700.0,29.0,9.7
2012,18 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),86.0,62.268107698141826,67.0,95.0,29900.0,32.80387685290764,10.1
2015,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),86.0,49.0,56.0,90.0,26700.0,31.0,8.6
2013,30 mois après le diplôme,hommes,"Droit, économie et gestion",93.0,66.0,83.0,98.0,33500.0,23.0,9.9
2013,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",92.0,58.0,79.0,97.0,31200.0,24.0,9.9
2017,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",92.0,63.0,71.0,98.0,31200.0,26.0,7.8
2013,18 mois après le diplôme,femmes,"Droit, économie et gestion",87.0,45.0,61.0,95.0,27300.0,25.0,9.9
2018,30 mois après le diplôme,femmes,"Droit, économie et gestion",93.0,62.0,82.0,98.0,32800.0,26.0,7.8
2014,30 mois après le diplôme,femmes,"Droit, économie et gestion",92.0,52.0,78.0,97.0,29800.0,26.0,9.3
2016,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",94.0,66.0,83.0,98.0,32800.0,25.0,8.5
2016,18 mois après le diplôme,femmes,"Droit, économie et gestion",91.0,55.0,67.0,97.0,28900.0,26.0,8.5
2012,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",91.0,56.0,79.0,97.0,31200.0,25.0,10.1
2018,30 mois après le diplôme,hommes,"Droit, économie et gestion",92.0,73.0,85.0,98.0,36700.0,23.0,7.8
2011,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",91.0,61.0,79.0,97.0,31200.0,29.0,9.7
2015,18 mois après le diplôme,femmes,"Droit, économie et gestion",90.0,48.0,64.0,96.0,28100.0,26.0,8.6
2013,18 mois après le diplôme,femmes,"Droit, économie et gestion",86.0,47.0,58.0,92.0,26000.0,28.0,9.9
2017,18 mois après le diplôme,hommes,"Droit, économie et gestion",90.0,70.0,68.0,97.0,32200.0,28.0,7.8
2013,30 mois après le diplôme,femmes,"Droit, économie et gestion",91.0,53.0,76.0,95.0,28200.0,28.0,9.9
2014,30 mois après le diplôme,hommes,"Droit, économie et gestion",91.0,66.0,75.0,97.0,32400.0,25.0,9.3
2020,30 mois après le diplôme,hommes,"Droit, économie et gestion",94.0,72.0,77.0,99.0,35600.0,29.0,6.9
2020,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",95.0,68.0,78.0,98.0,33500.0,29.0,6.9
2020,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",92.0,60.0,66.0,96.0,33500.0,29.0,6.9
2020,18 mois après le diplôme,hommes,"Droit, économie et gestion",92.0,66.0,65.0,97.0,35600.0,29.0,6.9
2016,18 mois après le diplôme,hommes,"Droit, économie et gestion",92.0,65.0,67.0,97.0,30400.0,26.0,8.5
2012,18 mois après le diplôme,hommes,"Droit, économie et gestion",84.0,62.268107698141826,61.0,94.0,28100.0,32.80387685290764,10.1
2016,30 mois après le diplôme,hommes,"Droit, économie et gestion",93.0,74.0,78.0,98.0,33400.0,26.0,8.5
2015,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",88.0,51.0,58.0,94.0,28100.0,29.0,8.6
2014,30 mois après le diplôme,hommes,"Droit, économie et gestion",83.0,69.0,52.0,93.0,32000.0,26.0,9.3
2014,30 mois après le diplôme,femmes,"Droit, économie et gestion",91.0,61.0,57.0,92.0,29600.0,27.0,9.3
2014,18 mois après le diplôme,hommes,"Droit, économie et gestion",79.0,60.0,37.0,87.0,28100.0,26.0,9.3
2020,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",91.0,77.0,55.0,97.0,34500.0,30.0,6.9
2020,18 mois après le diplôme,hommes,"Droit, économie et gestion",87.0,76.0,50.0,91.0,35900.0,28.0,6.9
2020,30 mois après le diplôme,hommes,"Droit, économie et gestion",91.0,84.0,58.0,95.0,35900.0,28.0,6.9
2020,30 mois après le diplôme,femmes,"Droit, économie et gestion",91.0,72.0,53.0,98.0,33900.0,31.0,6.9
2011,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",85.0,69.0,55.0,91.0,30200.0,29.0,9.7
2016,30 mois après le diplôme,hommes,"Droit, économie et gestion",89.0,79.0,58.0,94.0,34300.0,30.0,8.5
2015,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",86.0,67.0,51.0,94.0,31200.0,33.0,8.6
2017,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",91.0,76.0,58.0,97.0,33500.0,33.0,7.8
2018,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",87.0,74.0,60.0,95.0,34300.0,32.0,7.8
2015,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",82.0,60.0,39.0,94.0,28200.0,33.0,8.6
2013,30 mois après le diplôme,hommes,"Droit, économie et gestion",91.0,65.0,79.0,97.0,33300.0,25.0,9.9
2018,18 mois après le diplôme,hommes,"Droit, économie et gestion",90.0,69.0,75.0,98.0,35400.0,26.0,7.8
2019,18 mois après le diplôme,femmes,"Droit, économie et gestion",85.0,49.0,71.0,95.0,32200.0,34.0,7.2
2019,18 mois après le diplôme,hommes,"Droit, économie et gestion",86.0,68.0,76.0,97.0,38000.0,29.0,7.2
2016,18 mois après le diplôme,femmes,"Droit, économie et gestion",88.0,54.0,65.0,97.0,29400.0,31.0,8.5
2016,18 mois après le diplôme,hommes,"Droit, économie et gestion",89.0,67.0,69.0,97.0,33800.0,30.0,8.5
